,alpha,beta,gamma,tau,scf_cs,nn_scf_cs
547,26,0.56,22,0.9,14.22895179,14.228331
548,23,0.28,21,0.46,4.335757722,4.3865385
549,17,0.25,26,0.83,7.732785706,7.7551
550,17,0.21,17,0.34,1.976569139,1.8471984
551,6,0.67,9,0.44,2.904374459,2.8115003
552,26,0.5,25,0.75,13.15298308,13.156661
553,12,0.64,11,0.44,3.388682149,3.405767
554,26,0.3,23,0.91,8.55777299,8.651258
555,25,0.21,22,0.57,3.972411468,3.966914
556,12,0.24,26,0.5,5.007692223,5.161312
557,15,0.57,10,0.86,4.668158854,4.6680923
558,24,0.43,26,0.76,12.37315652,12.519148
559,35,0.56,17,0.56,6.838025595,6.7434106
560,38,0.39,14,0.34,2.869155746,3.038512
561,19,0.63,18,0.47,6.133592401,6.355031
562,36,0.55,25,0.54,9.956843936,10.126562
563,13,0.52,18,0.65,8.104859188,8.024036
564,29,0.26,27,0.22,2.693765466,2.6625175
565,32,0.49,25,0.28,4.867771661,4.9011536
566,6,0.32,15,0.75,4.490472912,4.367727
567,15,0.63,28,0.53,11.50132055,11.56888
568,31,0.58,23,0.85,14.39858946,14.466162
569,27,0.48,23,0.45,7.139165203,7.2870307
570,16,0.45,22,0.3,4.425377336,4.4842143
571,28,0.48,15,0.8,7.176108364,6.9555855
572,6,0.64,20,0.27,3.821061619,3.7242055
573,38,0.43,12,0.84,4.822542254,4.3788533
574,13,0.57,15,0.58,6.081375054,6.0299697
575,30,0.27,21,0.38,3.5782818,3.6006966
576,38,0.33,18,0.32,3.094384414,3.1939027
577,15,0.29,28,0.31,4.223507964,4.2522697
578,22,0.31,14,0.84,3.983206102,3.7155094
579,15,0.25,18,0.97,4.388285621,4.078708
580,32,0.64,15,0.46,4.969592254,4.9927936
581,25,0.68,27,0.55,11.45067314,11.644917
582,35,0.43,28,0.66,11.91707126,11.933886
583,10,0.43,26,0.98,15.1180349,15.416771
584,38,0.29,10,0.32,1.486006273,1.79721
,,,,,24.84644327,
